ID,outofhouse,numberpersons150cm,numberpersons150cmspoken,numberpersons5m,outhousework,test,#Survey completions
33,1.4285714285714286,0.42857142857142855,0.42857142857142855,2.7142857142857144,0.0,1.0,7
316,0.8333333333333334,0.0,0.0,0.16666666666666666,0.3333333333333333,1.0,6
366,1.9090909090909092,2.727272727272727,0.0,1.4545454545454546,0.0,0.0,11
776,2.5,1.5,1.1,1.2,0.0,0.0,10
1369,1.9090909090909092,2.272727272727273,0.0,1.1818181818181819,0.18181818181818182,0.0,11
1506,10.6,3.0,1.2,2.1,0.2,0.0,10
1852,2.3333333333333335,1.1666666666666667,0.0,1.3333333333333333,0.0,0.0,6
1881,7.25,26.25,0.0,2.75,0.875,0.0,8
2054,3.4285714285714284,2.2857142857142856,2.4285714285714284,1.4285714285714286,0.2857142857142857,0.0,7
2301,1.7777777777777777,1.3333333333333333,1.0,0.5555555555555556,0.0,0.0,9
2517,1.8333333333333333,3.6666666666666665,0.0,1.0,0.0,0.0,6
2597,0.6363636363636364,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.0,0.0,11
2696,3.272727272727273,4.454545454545454,0.45454545454545453,1.1818181818181819,0.0,0.0,11
2718,2.8,5.7,4.7,1.3,0.4,1.0,10
2843,2.909090909090909,1.5454545454545454,1.3636363636363635,1.2727272727272727,0.18181818181818182,0.0,11
3067,3.5,1.1,1.1,2.1,0.0,0.0,10
3208,3.0,34.5,0.0,3.5,0.0,1.0,10
3341,4.25,0.25,0.25,0.875,0.0,0.0,8
3806,2.3333333333333335,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,6
4057,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.0,0.0,6
4159,1.7777777777777777,0.3333333333333333,0.0,0.5555555555555556,0.2222222222222222,0.0,9
4258,0.9090909090909091,0.0,0.0,0.7272727272727273,0.0,0.0,11
4476,4.428571428571429,6.428571428571429,0.0,1.2857142857142858,0.0,0.0,7
4782,1.6666666666666667,2.0,0.0,0.6666666666666666,0.0,0.0,6
5027,8.0,1.0,0.6666666666666666,1.5,0.0,0.0,6
5191,2.5,1.75,0.75,1.5,0.25,0.0,8
5389,5.571428571428571,4.571428571428571,0.0,3.2857142857142856,0.0,0.0,7
5426,8.3,2.2,0.0,1.6,0.9,0.0,10
5558,2.909090909090909,2.1818181818181817,2.1818181818181817,0.9090909090909091,0.6363636363636364,0.0,11
5686,2.142857142857143,0.0,0.0,0.5714285714285714,0.0,1.0,7
5798,2.25,0.75,0.75,1.375,0.0,1.0,8
5941,2.2,1.7,0.8,1.5,0.0,0.0,10
6406,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.0,9
6436,4.4,1.1,0.0,0.6,0.0,1.0,10
6459,6.3,2.0,0.0,1.2,0.1,0.0,10
6764,1.8333333333333333,0.8333333333333334,0.6666666666666666,0.5,0.0,0.0,6
6848,1.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,11
7182,4.555555555555555,4.666666666666667,0.0,1.1111111111111112,0.0,0.0,9
7227,5.545454545454546,2.3636363636363638,1.2727272727272727,0.9090909090909091,0.18181818181818182,0.0,11
7255,6.4,2.5,2.2,0.7,0.0,0.0,10
7311,3.3333333333333335,1.3333333333333333,1.3333333333333333,0.8333333333333334,0.0,0.0,6
7438,4.0,0.0,0.0,1.0,0.0,0.0,6
7724,0.6363636363636364,0.0,0.0,0.2727272727272727,0.0,0.0,11
7778,2.2857142857142856,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.0,7
7920,2.0,1.1818181818181819,0.5454545454545454,1.6363636363636365,0.0,0.0,11
7942,2.6666666666666665,1.0,0.8333333333333334,2.3333333333333335,0.0,0.0,6
8006,3.6666666666666665,1.4444444444444444,0.0,1.1111111111111112,0.1111111111111111,1.0,9
8205,2.5,3.625,0.625,1.875,0.0,0.0,8
8236,1.625,1.5,0.375,0.75,0.0,0.0,8
8274,2.7,0.5,0.4,1.4,0.0,0.0,10
8519,2.1818181818181817,5.0,0.0,1.0,0.0,0.0,11
8827,1.4545454545454546,2.4545454545454546,1.9090909090909092,1.0,0.0,0.0,11
9241,5.4,0.7,0.7,0.7,0.0,0.0,10
9487,4.75,1.75,1.625,1.125,0.625,0.0,8
9497,8.090909090909092,2.090909090909091,0.0,1.0,0.6363636363636364,1.0,11
9701,2.090909090909091,1.1818181818181819,0.0,1.3636363636363635,0.0,0.0,11
9707,1.7272727272727273,1.7272727272727273,1.1818181818181819,0.6363636363636364,0.0,0.0,11
10071,1.3333333333333333,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.1111111111111111,0.0,9
10090,4.2727272727272725,4.545454545454546,0.0,1.2727272727272727,0.45454545454545453,1.0,11
10145,3.142857142857143,7.428571428571429,2.5714285714285716,1.8571428571428572,0.2857142857142857,1.0,7
10858,3.6666666666666665,2.5555555555555554,2.111111111111111,0.7777777777777778,0.4444444444444444,0.0,9
