ID,outofhouse,numberpersons150cm,numberpersons150cmspoken,numberpersons5m,outhousework,test,#Survey completions
143797,2.2857142857142856,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.14285714285714285,1.0,7
143818,1.3636363636363635,0.45454545454545453,0.09090909090909091,1.5454545454545454,0.0,0.0,11
143879,4.666666666666667,3.3333333333333335,3.3333333333333335,0.5,0.3333333333333333,0.0,6
144044,7.0,0.5,0.0,1.0,0.8,0.0,10
144067,4.714285714285714,1.8571428571428572,1.8571428571428572,1.0,0.42857142857142855,1.0,7
144173,2.111111111111111,1.5555555555555556,0.0,0.8888888888888888,0.0,1.0,9
144557,8.166666666666666,2.6666666666666665,2.3333333333333335,0.8333333333333334,0.8333333333333334,1.0,6
144697,2.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.0,0.0,9
145044,6.6,3.1,3.1,1.0,0.0,1.0,10
145635,7.375,1.0,0.375,1.5,0.875,0.0,8
146073,4.666666666666667,1.8333333333333333,1.0,1.5,0.3333333333333333,0.0,6
146163,11.875,9.25,0.0,2.0,1.0,0.0,8
146266,4.428571428571429,1.7142857142857142,1.7142857142857142,2.7142857142857144,0.0,0.0,7
146430,1.25,2.125,2.5,1.75,0.25,0.0,8
146862,0.1,0.6,0.7,0.7,0.1,0.0,10
146958,4.285714285714286,3.0,0.42857142857142855,1.8571428571428572,0.14285714285714285,0.0,7
147385,2.2,1.4,0.0,0.8,0.0,0.0,10
147657,3.625,6.375,0.0,2.0,0.5,1.0,8
147686,2.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.0,7
147773,5.4,8.8,0.0,1.8,0.8,0.0,10
147791,15.545454545454545,18.636363636363637,3.090909090909091,4.0,0.5454545454545454,0.0,11
147879,1.5454545454545454,0.9090909090909091,0.0,0.6363636363636364,0.0,0.0,11
147948,3.5454545454545454,1.9090909090909092,0.7272727272727273,0.8181818181818182,0.36363636363636365,1.0,11
148061,2.272727272727273,11.818181818181818,0.0,1.6363636363636365,0.0,0.0,11
148324,3.625,2.25,0.0,3.0,0.125,1.0,8
148505,2.272727272727273,2.909090909090909,1.0,1.0909090909090908,0.18181818181818182,0.0,11
148589,5.285714285714286,3.7142857142857144,0.0,1.0,0.0,0.0,7
148686,2.8181818181818183,8.454545454545455,0.0,1.2727272727272727,0.0,1.0,11
148758,1.5,0.2,0.2,1.0,0.0,0.0,10
148969,3.875,2.5,0.0,1.5,0.0,0.0,8
149097,6.2727272727272725,5.363636363636363,1.8181818181818181,2.5454545454545454,0.0,0.0,11
149140,3.9,3.1,1.3,1.0,0.0,0.0,10
